epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,23.7270921769,1321.64810036,1179.28554731,23.8654405769,1242.29742527,1099.10478081
1,24.4854243378,1230.51451508,1083.60196914,24.5881190974,1220.41891746,1072.89020468
2,24.4158113293,1216.10754388,1069.61267598,25.5292613489,1211.92804336,1058.75247545
3,24.3140734782,1208.70063346,1062.81619265,24.1739251799,1204.53366801,1059.49011676
4,24.2218641636,1203.74636331,1058.41517848,22.9894079823,1200.41998356,1062.48353462
5,24.1572145679,1199.96907759,1055.02579005,24.1783780027,1197.50945465,1052.43918745
6,24.0772598459,1196.90646245,1052.44290334,23.9046468596,1194.91420468,1051.48632248
7,24.0450995938,1194.68829029,1050.41769272,23.3804896134,1192.66046279,1052.37752677
8,23.9875679969,1192.68290529,1048.75749718,24.306939635,1190.49804618,1044.65640712
9,23.9355162364,1190.91530165,1047.30220437,23.7310276062,1189.56730937,1047.18114246
