epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,2.64694256102,2905.31115823,2900.01727275,2.36569330391,2900.52987124,2895.79848356
1,2.42752195662,2900.385442,2895.53039811,2.39178267934,2899.68941428,2894.90584928
2,2.60741697389,2899.9935591,2894.7787249,2.582833559,2899.69043297,2894.52476637
3,2.57173369333,2898.63315685,2893.48968949,2.53776272872,2898.85487,2893.77934471
4,2.61299630333,2898.5112122,2893.28521951,2.58333645276,2898.47417035,2893.30749771
5,2.63810994785,2898.00229635,2892.72607642,2.60839406406,2897.9708437,2892.75405521
6,2.65902228316,2897.95434457,2892.6363001,2.65920565853,2898.11391506,2892.79550294
7,2.66599908018,2897.72172409,2892.38972617,2.67199271018,2897.79206244,2892.44807605
8,2.6660203046,2897.59631121,2892.26427027,2.70480333689,2897.64826076,2892.23865442
9,2.66642251177,2897.52533304,2892.19248794,2.66054428255,2897.64407986,2892.32299261
