epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,14.5705120806,1373.22618647,1256.6620898,17.5933508422,1299.9540084,1159.20720231
1,16.0080632179,1281.29757775,1153.23307204,16.3098947248,1268.19428558,1137.71512828
2,15.9875110427,1261.55415222,1133.65406386,15.2881106605,1256.0216567,1133.71677117
3,15.8827055602,1250.51925635,1123.45761179,15.2790404124,1245.09889981,1122.86657713
4,15.8637331737,1243.25600247,1116.34613684,15.1531173738,1238.96045794,1117.73551939
5,15.7979932709,1237.67565827,1111.29171218,15.9284421781,1235.80115557,1108.37361819
6,15.6775280539,1232.84414121,1107.42391677,15.2910793719,1231.7795409,1109.45090548
7,15.6849528671,1229.34264855,1103.86302568,16.4608880075,1228.32660104,1096.63949635
8,15.741265798,1226.34750789,1100.41738162,15.9600886256,1225.32366779,1097.64295763
9,15.7908719269,1223.53910996,1097.21213461,15.8311422728,1222.0640835,1095.41494333
