epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,0.0256029425764,2901.79876257,2901.6963515,0.000470221042633,2904.16157895,2904.15962583
1,0.000312626367525,2898.65276245,2898.65151168,0.000230252742767,2904.25043047,2904.24945391
2,0.000224255260095,2898.48857919,2898.48769299,8.45491886139e-05,2904.28048709,2904.28024277
3,0.000202174742625,2898.41872214,2898.41792588,4.47034835815e-07,2904.27207816,2904.27207816
4,2.12078304206e-06,2897.93553212,2897.93552774,5.96046447754e-08,2903.51876084,2903.51876084
5,4.92740799867e-06,2897.93329887,2897.9332852,2.38418579102e-07,2903.5178201,2903.5178201
6,1.71707372281e-07,2897.88878864,2897.88878864,1.19209289551e-07,2903.48214668,2903.48214668
7,2.14778305652e-07,2897.887731,2897.887731,0.0,2903.48204977,2903.48204977
8,-1.96417084419e-08,2897.88361662,2897.88361662,0.0,2903.48255821,2903.48255821
9,-2.98415982333e-08,2897.88327001,2897.88327001,-1.49011611938e-07,2903.48254921,2903.48254921
