epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,36.7346937784,1400.01994989,1400.01994989,33.4524917603,1396.75631388,1396.75631388
1,59.2149479513,1396.03596211,1396.03596211,63.0102043152,1396.22063367,1396.22063367
2,63.0102043046,1395.83923028,1395.83923028,63.0102043152,1396.15864147,1396.15864147
3,63.0102043046,1395.74994062,1395.74994062,63.0102043152,1396.16150152,1396.16150152
4,63.0102043046,1394.83057817,1394.83057817,63.0102043152,1394.47454056,1394.47454056
5,63.0102043046,1394.79960302,1394.79960302,63.0102043152,1394.47296136,1394.47296136
6,63.0102043046,1394.79740057,1394.79740057,63.0102043152,1394.4745877,1394.4745877
7,63.0102043046,1394.79685663,1394.79685663,63.0102043152,1394.47321148,1394.47321148
8,63.0102043046,1394.7117867,1394.7117867,63.0102043152,1394.34296577,1394.34296577
9,63.0102043046,1394.70153433,1394.70153433,63.0102043152,1394.34051228,1394.34051228
