epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,15.1074490856,1046.35531701,1031.24786766,13.8677072096,974.21749472,960.349787055
1,12.5925905092,963.95605133,951.363460776,11.7199027959,962.29542417,950.575522278
2,11.7666838815,956.036764166,944.27008013,12.063124653,956.023671812,943.960547251
3,11.429264072,952.245485333,940.816221223,11.8949704509,953.035758435,941.140787901
4,11.3006651312,949.967808323,938.667143174,10.9879308402,949.800195701,938.812263854
5,11.185463944,948.36187461,937.176410707,11.4846212674,948.783045119,937.298423839
6,11.1174109345,947.110618957,935.993208115,10.8399344129,949.02346559,938.183532473
7,11.0864457617,946.257150767,935.170704997,11.9725689368,950.584790401,938.612221582
8,11.1037032936,945.593885791,934.490182626,10.9114594965,946.734990051,935.823531172
9,11.0829058414,944.950670616,933.867764855,10.9366067965,945.050116991,934.113509402
