epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,0.0403669577637,2830.60512013,2830.44365221,0.01407302114,2821.16828935,2821.11199729
1,0.00930476850084,2820.80949365,2820.77227445,0.0055537280473,2820.19795797,2820.17574308
2,0.0054320675606,2820.25405603,2820.23232774,0.00423346154959,2819.88990113,2819.87296723
3,0.00416775332629,2820.01874945,2820.00207826,0.00399286944249,2819.74281982,2819.72684795
4,0.00325865689124,2819.84057359,2819.82753876,0.00302691490426,2819.62254601,2819.61043714
5,0.00289409886435,2819.7716219,2819.76004522,0.00242685499766,2819.56127238,2819.5515645
6,0.00263808258037,2819.7245427,2819.71399092,0.00227991139509,2819.52370762,2819.51458913
7,0.00231170378077,2819.66047284,2819.65122592,0.00204720544846,2819.48358515,2819.47539616
8,0.00218283585698,2819.63724419,2819.6285126,0.00193557941293,2819.46067772,2819.45293563
9,0.00199806372939,2819.60125621,2819.59326406,0.00180963986118,2819.43726434,2819.43002517
10,0.00192220294549,2819.58839091,2819.58070205,0.00176528434494,2819.42740994,2819.42034895
11,0.00180770607421,2819.56622926,2819.55899854,0.00168640115997,2819.40408927,2819.39734324
12,0.00176220688006,2819.55836382,2819.5513155,0.00163968890691,2819.39732577,2819.3907673
