epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,0.0677668612069,2361.43372899,2352.75957026,0.0351547216905,2268.45354713,2263.95373645
1,0.0339856708101,2253.9292819,2249.57911592,0.0253116518161,2245.83229816,2242.59240786
2,0.0290529658335,2240.10176825,2236.3829889,0.0226490398212,2236.13693358,2233.23785509
3,0.0264296387175,2232.47275759,2229.08976357,0.0194260403541,2230.46632591,2227.97979854
4,0.0247317699486,2227.34032289,2224.17465647,0.0217844362481,2227.82447765,2225.0360707
5,0.0235146290047,2223.59355383,2220.58368122,0.0201897658304,2223.23705381,2220.65276508
6,0.0225894351387,2220.80228096,2217.9108332,0.0191673435586,2220.9516803,2218.49826357
7,0.0217930182759,2218.60483902,2215.81533253,0.020173230373,2219.29900003,2216.71682984
8,0.021100391515,2216.77475134,2214.07390116,0.0194950771141,2217.39380912,2214.89843704
9,0.0205363929304,2215.20954608,2212.58088809,0.0183414973692,2216.11031678,2213.76260481
10,0.0200493325889,2213.87794775,2211.31163323,0.0180298952648,2214.96460361,2212.65677786
11,0.0196391156753,2212.71308342,2210.19927684,0.0171179543434,2214.06380177,2211.87270876
12,0.019235706535,2211.66373981,2209.20156929,0.0155663426333,2212.1090557,2210.11656449
