epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,31.30426983,1273.22012641,1148.00304708,30.6859651014,1197.69842293,1074.95456482
1,31.5645212082,1183.68235805,1057.42427325,29.7183369515,1172.48194311,1053.60859711
2,30.9813128367,1167.99330366,1044.06805216,28.6231659149,1162.71482515,1048.2221615
3,30.5013058702,1159.70024597,1037.69502271,31.3901300403,1155.20060229,1029.6400825
4,30.0896230291,1154.24954851,1033.89105628,29.7077329331,1151.1403774,1032.30944528
5,29.801180973,1150.40743223,1031.20270835,29.5036306637,1147.48950386,1029.47498096
6,29.6167377709,1147.61777594,1029.1508249,28.615921952,1147.28808065,1032.82439286
7,29.5083390612,1144.76706597,1026.73370957,28.9999017712,1142.67157397,1026.67196589
8,29.3990046366,1143.25908033,1025.66306178,30.9179966577,1142.30134567,1018.62936068
9,29.330292913,1142.05445978,1024.73328815,28.9541185101,1139.87741599,1024.0609454
