epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,51.5320672424,948.319433498,896.787366056,51.8323915848,868.015445186,816.183052668
1,51.1489895857,858.636604665,807.487614452,52.1488331418,852.299041294,800.150206298
2,50.5502203457,846.553986259,796.003765241,53.348326952,842.761221502,789.412894284
3,50.3703772279,840.181342646,789.810964218,53.0144599589,838.383251876,785.368789778
4,50.2723375767,835.916001044,785.643662424,50.4829824858,834.501912233,784.018927888
5,50.1718869135,832.897263267,782.725374974,48.2574466547,831.965135667,783.707686831
6,50.089810623,830.627100389,780.537288504,48.851387974,829.521478246,780.670090547
7,50.0410971858,828.845117783,778.804019194,48.9167199702,827.53705469,778.620333637
8,49.977641273,827.356810393,777.379167368,51.0337808307,826.285254955,775.251472613
9,49.9492346788,826.163471587,776.214235465,50.5546668463,825.454947646,774.900278882
