epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,15.694564785,1160.84254186,1035.2860226,19.4147336459,1078.43823493,923.120365131
1,18.7318262636,1063.87783098,914.023220486,19.1320778775,1054.14917335,901.092547661
2,18.9833845377,1048.33095197,896.463874463,18.1267804291,1043.7979774,898.783733728
3,19.0417855376,1040.39811928,888.06383427,18.427072024,1037.53405547,890.11747808
4,19.039609968,1035.19329049,882.876409753,18.3135052403,1033.45107186,886.943029462
5,19.0411445496,1031.63979797,879.310640592,19.4537935075,1030.14712906,874.516781644
6,19.0024224109,1028.75109995,876.731719685,19.8101636408,1028.69254529,870.211235046
7,18.9718286786,1026.46716083,874.692530332,18.8662183305,1025.87025591,874.940507586
8,18.9737205553,1024.88712063,873.097354925,19.4801128841,1024.02257115,868.18166606
9,18.9422771073,1023.13432835,871.596110518,20.1033040203,1023.23971719,862.413282406
