epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,0.12254347441,980.896823403,976.975432087,0.0433036411706,946.664144737,945.278428399
1,0.0491860546852,939.972704881,938.398751211,0.0372662644099,935.146890053,933.954369369
2,0.0384390087033,933.51322319,932.283175066,0.0306898826102,931.375405764,930.393328447
3,0.0327599035517,930.974652802,929.926335836,0.026286204143,929.511194099,928.670034834
4,0.0290355836988,929.461748241,928.53260958,0.0217728973233,928.147201963,927.450470261
5,0.0264859971694,928.391986243,927.54443419,0.0206200088577,927.258164447,926.598324711
6,0.0245577065538,927.593119886,926.80727341,0.0219076911896,926.721576506,926.02053137
7,0.0229567951074,926.962586293,926.227969008,0.0184093376869,926.102085473,925.512987322
8,0.0217349803289,926.449535779,925.754016346,0.019302214315,925.759638693,925.141968656
9,0.0207295440531,926.009876731,925.346531383,0.0200070428899,925.332363856,924.69213921
