epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,0.254038316607,367.813033329,367.558995107,0.202403615266,363.541104126,363.338701782
1,0.752953691665,364.112155372,363.359201796,0.800159301758,362.518295593,361.718137207
2,1.13046715433,363.028430023,361.89796307,0.942101293802,362.38490509,361.442804565
3,1.22566548187,362.52549647,361.299831085,0.964437196851,362.130762024,361.166324463
4,1.29370398058,362.344473199,361.050769501,1.02683770001,361.958419189,360.931582642
5,1.37347267684,362.132355262,360.758882853,1.0675534898,361.976100159,360.908546143
6,1.40153853211,361.903494263,360.501956041,1.10268047094,361.477116699,360.374437561
7,1.4294250534,361.822891744,360.393466678,1.08721193492,361.832112122,360.744899292
8,1.43735202303,361.758589817,360.321238064,1.08905201375,361.894153442,360.805099792
9,1.44224026948,361.730429179,360.288188985,1.10554027975,361.706352844,360.600812683
10,1.4525739695,361.697513716,360.244939863,1.1073635,361.694951172,360.587587891
11,1.4686700364,361.694159105,360.225489248,1.11367034018,361.462931519,360.349261475
12,1.47485624138,361.615668776,360.140812514,1.11853471339,361.859682007,360.741148071
13,1.48301488823,361.628569505,360.145554708,1.12162934601,361.62628418,360.504655457
