epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,2.74653432959,2912.70080429,2909.95426983,1.21127118808,2912.92416474,2911.71298209
1,0.968593418896,2908.51966251,2907.55106874,0.674979536452,2910.46177006,2909.78672093
2,1.3719841991,2908.62448744,2907.25250302,1.84655455197,2910.89957136,2909.05313449
3,1.4594630754,2908.57077782,2907.11131496,0.486026551742,2909.6520411,2909.16595683
4,1.24955285972,2908.23116915,2906.98161657,0.195237975154,2911.40201057,2911.20669841
5,0.115519942492,2906.32721729,2906.21169764,0.242121849506,2914.38030785,2914.13812026
6,0.0751486230941,2906.23500109,2906.15985261,0.0334238039239,2914.52251511,2914.4890679
7,0.00822253703517,2906.10183789,2906.09361577,0.00214231720603,2913.84494906,2913.84275185
8,0.00289302051133,2906.08253174,2906.07963579,0.000306665388163,2915.63675178,2915.63650759
9,0.000201068377219,2906.08005896,2906.07984263,0.00012120142789,2918.08228464,2918.08228464
10,0.000133855204661,2906.07819388,2906.07806197,0.000210278883621,2916.89713602,2916.89689193
