epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,56669.8664056,2874.38001743,2874.38001743,24084.4528519,2866.59867953,2866.59867953
1,23375.2593876,2860.87290646,2860.87290646,22120.308053,2864.59609728,2864.59609728
2,20558.249439,2859.85085735,2859.85085735,20118.42569,2864.00027303,2864.00027303
3,19455.1145341,2859.42474927,2859.42474927,18268.0894784,2863.71955827,2863.71955827
4,18178.1652972,2859.20416326,2859.20416326,18375.8001354,2863.61720435,2863.61720435
5,19374.0636524,2858.9908362,2858.9908362,19916.4764834,2863.41918841,2863.41918841
6,20255.6948872,2858.96919995,2858.96919995,20532.77086,2863.40274687,2863.40274687
7,20828.7048108,2858.95380214,2858.95380214,21046.1335704,2863.38852015,2863.38852015
8,21270.5087038,2858.94034545,2858.94034545,21416.1344278,2863.37488606,2863.37488606
9,21517.6676298,2858.92183937,2858.92183937,21558.482294,2863.36194033,2863.36194033
