epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,14.4938644575,2935.07667607,2920.58281171,10.1857453513,2909.84007589,2899.65432929
1,11.4839755206,2896.84777365,2885.36379786,11.861434951,2905.19087788,2893.32944248
2,11.6060848747,2892.8788035,2881.27271878,11.4087214203,2900.96710496,2889.55838216
3,11.2555508962,2890.78268651,2879.52713568,11.2927374898,2898.99312572,2887.70038817
4,10.7977597878,2889.24883137,2878.45107175,10.8175500951,2897.63114625,2886.81359724
5,10.6428194671,2888.1954113,2877.5525919,11.4595109591,2897.49537933,2886.03586893
6,10.5725438023,2887.50946845,2876.93692453,11.0367758462,2897.28267012,2886.24589416
7,10.4986708739,2886.96706928,2876.46839827,10.6770042956,2896.0252906,2885.34828558
8,10.4802585932,2886.61389566,2876.13363679,11.0092410547,2893.06372255,2882.05448086
9,10.4774908742,2886.24669429,2875.7692033,10.9363134358,2895.16751243,2884.23119932
10,10.4796732925,2885.95305715,2875.47338373,10.3369338529,2893.18928469,2882.85235074
11,10.4946413618,2885.67329216,2875.17865106,10.8304512858,2892.51747043,2881.68701824
12,10.3737120964,2884.2794291,2873.90571668,10.5025426473,2888.86611552,2878.36357245
13,10.3427375524,2884.06728002,2873.72454274,10.3461787763,2888.72353447,2878.37735551
14,10.3339389544,2883.98177619,2873.64783722,10.387327879,2888.54756046,2878.16023356
15,10.3085817311,2883.90146401,2873.59288237,10.4757515749,2888.48148662,2878.00573455
16,10.2997435467,2883.75406004,2873.45431646,10.4060093854,2888.41595482,2878.00994589
17,10.2975413645,2883.73189975,2873.43435834,10.3883040483,2888.43508874,2878.04678492
18,10.299800833,2883.70384471,2873.40404343,10.3738922502,2888.50701697,2878.13312589
19,10.2887091313,2883.71216368,2873.42345479,10.3685891605,2888.32241309,2877.95382397
