epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,21.8725350388,3222.81129085,3222.81129085,21.8473215277,5853.24452385,5853.24452385
1,21.8725349937,3151.27899909,3151.27899909,21.8473446817,5810.57017193,5810.57017193
2,21.8725350479,3147.68685969,3147.68685969,21.8473437916,5922.4052468,5922.4052468
3,21.8725351149,3146.60213084,3146.60213084,21.8473460689,5875.00540661,5875.00540661
4,21.8725351098,3146.1563776,3146.1563776,21.8473458608,5906.8297023,5906.8297023
5,21.8725350337,3144.75913274,3144.75913274,21.8473444158,5407.12504587,5407.12504587
6,21.8725350956,3144.71800635,3144.71800635,21.8473442078,5772.57899355,5772.57899355
7,21.8725350014,3144.70322767,3144.70322767,21.847345121,5696.82253344,5696.82253344
8,21.872535062,3144.68739947,3144.68739947,21.8473449245,5750.4546875,5750.4546875
9,21.8725351149,3144.52693933,3144.52693933,21.847345988,5641.72525154,5641.72525154
