epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,4.37550204472,2965.35104335,2965.35104335,9.1937570832,2967.99175101,2967.99175101
1,4.4177805486,2872.03866633,2872.03866633,9.14565322471,2982.56936553,2982.56936553
2,4.44130765465,2870.6471889,2870.6471889,9.09853644805,2930.93308031,2930.93308031
3,4.49827032753,2869.70844773,2869.70844773,9.07702779192,2928.23131806,2928.23131806
4,4.69996440145,2869.01819285,2869.01819285,9.23051713886,2913.95990915,2913.95990915
5,5.10157576955,2868.51248055,2868.51248055,9.57587369572,2907.17911784,2907.17911784
6,5.80261659687,2868.16425332,2868.16425332,10.0424481652,2905.60240885,2905.60240885
7,6.64118874694,2867.9487828,2867.9487828,10.7766057332,2902.40546875,2902.40546875
8,7.50698051169,2867.74054108,2867.74054108,11.2779446197,2916.70583866,2916.70583866
9,8.23453208834,2867.5834162,2867.5834162,11.8821713881,2905.93059304,2905.93059304
