epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,54.0262725561,2946.91106546,2946.91106546,52.7348220132,2906.80443892,2906.80443892
1,45.5429299466,2867.12518736,2867.12518736,47.1670484716,2895.44050367,2895.44050367
2,44.586656297,2864.53009863,2864.53009863,43.2364160133,2892.88971354,2892.88971354
3,45.9966871817,2862.56664197,2862.56664197,55.4350849267,2892.26470762,2892.26470762
4,52.5473466181,2860.49365845,2860.49365845,60.6014481631,2902.56611032,2902.56611032
5,65.9396053054,2859.00792871,2859.00792871,76.1076726162,2934.21542525,2934.21542525
6,81.3694917035,2853.47843722,2853.47843722,89.78828125,2901.07069721,2901.07069721
7,100.316262447,2851.21064681,2851.21064681,109.096638882,2891.02027107,2891.02027107
8,118.075696358,2849.3045216,2849.3045216,127.598617323,2889.10837772,2889.10837772
9,135.150094889,2847.70851095,2847.70851095,143.709513161,2888.30356297,2888.30356297
