epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,4.74024607748,2962.03987977,2957.29963417,0.329949804689,2904.61972656,2904.28977865
1,0.159728245176,2871.94494456,2871.78521799,0.115334196705,2902.00180368,2901.88647165
2,0.0831601154651,2870.40137098,2870.31821131,0.0738772213459,2900.65302882,2900.57914447
3,0.0479321880386,2869.28111761,2869.23318583,0.0276960259134,2900.34462595,2900.31693004
4,0.0397636691326,2868.48941496,2868.44964975,0.0251794354482,2900.4707268,2900.44554628
5,0.0249593609729,2868.16192648,2868.1369652,0.0195158145644,2899.77535067,2899.7558357
6,0.0051643646513,2866.17724015,2866.17207424,0.00290899836656,2899.67422171,2899.67133789
7,0.00154254142701,2866.10117425,2866.09963116,0.00253134135044,2899.49663234,2899.49408144
8,0.00216141014667,2866.0701646,2866.06800398,0.00254321315072,2899.63192472,2899.62939453
9,0.00234410460935,2866.07373096,2866.07138563,0.00345997358813,2899.6002619,2899.59679658
10,0.00355112453906,2866.08152828,2866.07798023,0.00502071507049,2899.49556256,2899.49054214
11,0.00432192130698,2865.85836245,2865.85403857,0.00490883715225,2899.5508937,2899.54598574
12,0.00447867112518,2865.82580129,2865.82132158,0.00569082028938,2899.47306907,2899.46737985
