epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,172.877757172,2929.12181825,2929.12181825,104.42322212,2900.47679036,2900.47679036
1,92.843248415,2870.10629691,2870.10629691,82.3910079031,2902.53319277,2902.53319277
2,84.5909338378,2869.46980233,2869.46980233,79.5316810377,2908.22920662,2908.22920662
3,66.7729071591,2868.47734758,2868.47734758,64.5880648064,2909.23385565,2909.23385565
4,64.0469854766,2866.16043126,2866.16043126,65.3535230926,2899.5791134,2899.5791134
5,65.1973493085,2866.1121865,2866.1121865,66.2144561768,2899.55174893,2899.55174893
6,66.6480253966,2865.83967884,2865.83967884,67.2179041545,2899.15606209,2899.15606209
7,67.7332579566,2865.81307725,2865.81307725,68.0460174561,2899.0827252,2899.0827252
8,68.5549065652,2865.79508051,2865.79508051,68.7395267602,2899.14230883,2899.14230883
9,69.417601105,2865.73807475,2865.73807475,69.4568057667,2898.86290838,2898.86290838
