epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,79.4921921022,2738.48169987,2658.98950784,79.2336783569,2505.51252216,2426.27884233
1,78.0440858887,2478.22520897,2400.18112221,78.3023241157,2456.58916931,2378.28683993
2,77.6284786817,2447.51313221,2369.88465332,78.0091296939,2437.11258884,2359.10345867
3,77.5803069343,2431.83879756,2354.25849051,78.2843141935,2425.36039318,2347.07607947
4,77.5699094477,2421.73795876,2344.16804897,77.9462545932,2417.02220016,2339.07594573
5,77.7171210697,2414.56182731,2336.84470593,76.8196973166,2409.59510146,2332.77540307
6,77.8078832783,2409.06879159,2331.26090852,78.4751187103,2404.83900884,2326.3638901
7,77.8877504703,2404.66068729,2326.77293682,78.1579732905,2402.04984551,2323.89187589
8,78.0005291625,2401.09687088,2323.09634181,78.8211772243,2398.0375509,2319.21637391
9,78.0664096658,2398.05799546,2319.99158592,77.6435537751,2396.49301708,2318.8494632
