epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,5.52248007257,2340.49258672,2334.97010639,2.42158027745,2223.8325246,2221.41094038
1,2.43124095899,2214.6290142,2212.19777225,2.2036668517,2205.55628228,2203.35261685
2,2.30777244859,2202.22789763,2199.92012512,2.16557348291,2197.20124342,2195.03567016
3,2.22140923522,2196.02362955,2193.80222044,2.07678237792,2192.67908128,2190.60229613
4,2.1414209551,2192.11231623,2189.97089512,2.04559418245,2189.57397448,2187.52837928
5,2.06082970555,2189.32701797,2187.26618833,1.9964550645,2187.28379701,2185.28734257
6,1.98640078816,2187.22738396,2185.24098278,1.80754000074,2185.49830002,2183.69076371
7,1.91766291288,2185.50455544,2183.58689252,1.84791274248,2183.98917519,2182.14126943
8,1.85393520642,2184.05465598,2182.20072044,1.76977322852,2182.45085432,2180.68108105
9,1.79709295085,2182.80658304,2181.0094906,1.76266881058,2181.35897744,2179.59630498
