epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,2.87265741899,2350.65111482,2344.90579993,1.42008788669,2231.59583569,2228.75566109
1,1.32973389828,2220.53795292,2217.87848531,1.31193396913,2210.71722302,2208.09335021
2,1.18181967424,2206.1371325,2203.77349302,1.04039796431,2200.70312775,2198.62232821
3,1.07019337823,2198.705433,2196.56504624,1.11651232944,2195.19271364,2192.95968977
4,0.97551468619,2194.19198465,2192.24095599,1.09442292977,2192.21043036,2190.02157901
5,0.901721480653,2191.11167183,2189.30822882,0.832092799191,2189.01566808,2187.3514827
6,0.846490091459,2188.76904427,2187.07606414,0.82102230703,2187.0392676,2185.3972263
7,0.801362048822,2186.92744665,2185.32472276,0.872799614122,2185.47580929,2183.73020608
8,0.765054679792,2185.40780057,2183.87769127,0.66874498807,2184.19629693,2182.85880059
9,0.733969045698,2184.10748671,2182.63954871,0.78354539914,2183.13465,2181.56755837
