epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,6.20674644821,1347.60160115,1248.29365818,4.6291463507,1097.23815804,1023.17181804
1,1.69831291016,1026.49881222,999.325805975,5.82507278216,1079.34326951,986.14210358
2,1.25687597796,999.643925202,979.533909623,5.7197833215,1066.02110302,974.504569752
3,1.06013539755,987.814761345,970.852595143,3.22864007647,1019.22730391,967.569064614
4,0.942540140475,979.793121163,964.712478913,2.10912428854,995.558655635,961.812667336
5,0.87668653784,973.422406307,959.395421677,2.09760971064,990.536428587,956.974675423
6,0.814360154259,968.491617546,955.461855185,1.67156910569,980.1308134,953.38570883
7,0.760032791051,964.769344875,952.608820377,1.02610076327,967.462069974,951.044457711
8,0.71682986001,961.81070182,950.341424182,0.840990093337,962.353211148,948.897370105
9,0.681153833077,959.32678703,948.428325614,1.04572573765,964.3376406,947.606029135
10,0.466103985942,952.796324917,945.338661034,0.708093042562,955.452018751,944.122528915
11,0.464995742685,951.224703516,943.784771694,0.694157220042,953.923199357,942.816683167
12,0.452247670647,949.921537126,942.68557433,0.579870593686,951.070877113,941.792947301
13,0.43674273758,948.704915717,941.71703183,0.60022797129,950.537389336,940.933742315
14,0.420950917239,947.592620899,940.857406123,0.565517610591,949.115243185,940.066961612
15,0.406404614477,946.613924008,940.111450076,0.576877087239,948.691086681,939.461053213
16,0.392549176371,945.719336073,939.438549315,0.57456617394,947.866524525,938.673465937
17,0.377967620185,944.864421786,938.816939876,0.429855276171,944.974383457,938.096698684
18,0.364026115896,944.062501981,938.238084116,0.344032384242,943.028763587,937.524244801
19,0.351865524523,943.331214782,937.701366427,0.298175870679,941.8086756,937.037861568
20,0.3396373709,942.647206991,937.213008947,0.347020887261,942.077918595,936.525584208
21,0.237710530581,939.81907256,936.015704061,0.255502579958,939.233855986,935.145814473
22,0.24143836473,939.310645586,935.447631771,0.25085751591,938.786758676,934.773039943
23,0.239581290367,938.887542342,935.054241715,0.221253482817,937.956615202,934.416559316
24,0.236796000057,938.516972091,934.728236062,0.21840629386,937.587313577,934.092812937
25,0.234091718553,938.187034107,934.441566607,0.20070238621,936.964126001,933.752887897
26,0.230089146354,937.853142341,934.171715968,0.192828699616,936.581072748,933.495815079
27,0.2266692651,937.5428813,933.91617288,0.174375414638,936.104889551,933.314883157
28,0.223851633044,937.258441044,933.676814987,0.153042846134,935.560110754,933.111425745
