epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,76.8493863554,1111.86823288,1035.0188466,70.9395604051,1058.36976249,987.430204212
1,67.9604816427,1052.53582482,984.575343266,65.8074917785,1045.89776947,980.09028001
2,67.1067222733,1043.28037282,976.173650481,66.2512537997,1038.83140902,972.580155543
3,66.4472583079,1038.21947082,971.772212627,61.9748262857,1035.41061285,973.435787606
4,65.8596822312,1034.89079175,969.031109385,64.438067889,1032.88809443,968.450026395
5,65.2428000278,1032.47010141,967.227301585,62.0473993985,1030.96779975,968.92040211
6,64.6922044188,1030.70603542,966.013830923,62.2819151934,1028.55353926,966.271625614
7,64.100971077,1029.13725045,965.036279244,63.8807944956,1027.58906458,963.708268906
8,63.5262919493,1027.84207897,964.315787034,62.0028933228,1026.2897409,964.286845947
9,62.8853903429,1026.566092,963.680701585,62.0647745909,1024.73204621,962.667270213
10,62.2705283446,1025.43629713,963.165768754,61.9491669161,1023.59568241,961.646517119
11,61.7156123144,1024.29287347,962.577261139,61.2409568198,1022.85350106,961.61254545
12,61.1361819412,1023.177103,962.040921092,62.117046884,1021.31014005,959.193091924
13,60.6679709867,1022.12415436,961.456183333,60.3246720623,1020.58519119,960.260521336
14,60.158112593,1020.9737547,960.815642159,59.3976052197,1019.43765982,960.040056026
15,59.8473817882,1020.08831049,960.240928435,59.3822460733,1018.65205575,959.269811695
16,59.5906818228,1019.3547463,959.764064358,61.6169997394,1018.37413124,956.75713154
17,59.2565964851,1018.05024119,958.793644785,58.0079174391,1016.62250006,958.614580619
18,59.0163699041,1017.48946323,958.473093522,58.5085531651,1016.35426415,957.845710913
19,58.7921685682,1016.64035108,957.848182332,59.5452833361,1015.82514012,956.279856142
